SEP=,
item.palamod.paladium_upgrade_cobblebreaker,Paladium Upgrade Cobblebreaker,Paladium Upgrade Cobblebreaker
gui.palamod.paladium_furnace_gui.label_paladium_furnace,Paladium Furnace,Paladium Furnace
gui.palamod.paladium_furnace_gui.label_inventory,Inventory,Inventory
item.palamod.furnace_upgrade,Furnace Upgrade,Furnace Upgrade
item.palamod.admin_key,Admin Key,Admin Key
gui.palamod.admind_key_gui.label_admin_key,Admin Key,Admin Key
gui.palamod.admind_key_gui.button_safe_chest,Coffre de Safe,Safe Chest
gui.palamod.admind_key_gui.button_mega_safe_chest,Coffre de Mega Safe,Mega Safe Chest
gui.palamod.admind_key_gui.button_ultra_safe_chest,Coffre de Ultra Safe,Ultra Safe Chest
block.palamod.withered_obsidian,Withered Obsidian,Withered Obsidian
biome.palamod.miner_biome,Miner,Miner
subtitles.paladium_10years,Paladium 10 Years,Paladium 10 Years
subtitles.order_vs_chaos,Order Vs Chaos,Order Vs Chaos
subtitles.companion,Companion,Companion
subtitles.palamod_birthday,Palamod Birthday,Palamod Birthday
item.palamod.palamod_birthday,Disque de musique,Music Disc
item.palamod.palamod_birthday.description_1,But also the 1st anniversary of Palamod Recreated,But also the 1st anniversary of Palamod Recreated
item.palamod.palamod_birthday.description_0,The 10th anniversary of Palladium,The 10th anniversary of Palladium
item.palamod.palamod_birthday.description_2,Thank you all,Thank you all
item.palamod.palamod_birthday.desc,Palamod Birthday,Palamod Birthday
item.palamod.miner_portal_frame.description_0,creative only,creative only
item.palamod.miner_portal_frame,Miner Portal Frame,Miner Portal Frame
block.palamod.halloween_lucky_block,Halloween Lucky Block,Halloween Lucky Block
block.palamod.august_lucky_block,August Lucky Block,August Lucky Block
block.palamod.july_lucky_block,July Lucky Block,July Lucky Block
block.palamod.september_lucky_block,September Lucky Block,September Lucky Block
block.palamod.june_lucky_block,June Lucky Block,June Lucky Block
block.palamod.may_lucky_block,May Lucky Block,May Lucky Block
block.palamod.march_lucky_block,March Lucky Block,March Lucky Block
block.palamod.christmas_lucky_block,Christmas Lucky Block,Christmas Lucky Block
block.palamod.november_lucky_block,November Lucky Block,November Lucky Block
block.palamod.easter_lucky_block,Easter Lucky Block,Easter Lucky Block
block.palamod.drawbridge,Drawbridge,Drawbridge
gui.palamod.drawbridge_gui.label_drawbridge,Drawbridge,Drawbridge
gui.palamod.online_detector_gui.player_name,player,player
gui.palamod.online_detector_gui.button_detect,Detect,Detect
gui.palamod.online_detector_gui.label_player,Player :,Player :
item.palamod.titane_upgrade_cobblebreaker,Titane Upgrade Cobblebreaker,Titane Upgrade Cobblebreaker
block.palamod.totem_of_fertility,Totem Of Fertility,Totem Of Fertility
block.palamod.sand_egg,Sand Egg,Sand Egg
block.palamod.ore_egg,Minerai Egg,Ore Egg
block.palamod.magma_egg,Magma Egg,Magma Egg
block.palamod.end_stone_egg,End Stone Egg,End Stone Egg
block.palamod.ice_egg,Ice Egg,Ice Egg
block.palamod.candy_egg,Candy Egg,Candy Egg
block.palamod.water_egg,Water Egg,Water Egg
block.palamod.leaves_egg,Feuilles Egg,Leaves Egg
block.palamod.antique_box,§6Antique Box,§6Antique Box
block.palamod.antique_box_opened,§6Antique Box Opened,§6Antique Box Opened
item.palamod.antique_key.description_0,§aUse to open - §6Antique Box,§aUse to open - §6Antique Box
item.palamod.antique_key,§6Antique Key,§6Antique Key
subtitles.antique_box_idle,Antique Idle,Antique Idle
subtitles.antique_open,Antique_Open,Antique_Open
item.palamod.ancient_hammer,§6Ancient Marteau,§6Ancient Hammer
item.palamod.advanced_ancient_hammer,§6Advanced Ancient Marteau,§6Advanced Ancient Hammer
subtitles.ancient_armor_equip,ancient_armor_equip,ancient_armor_equip
item.palamod.beta,Beta,Beta
item.palamod.paladium_recreated,Paladium Recreated,Paladium Recreated
item.palamod.itempala,Itempala,Itempala
item.palamod.tools_pala,Tools Pala,Tools Pala
item.palamod.blocks_pala,Blocks Pala,Blocks Pala
gui.palamod.antique_box_gui.label_amethyst_box,Antique Box,Antique Box
gui.palamod.antique_box_gui.label_inventory,Inventory,Inventory
item.palamod.remote_control,Remote Control,Remote Control
palamod.procedure.airdrop,An air drop appear on this coordinates :,An air drop appear on this coordinates :
palamod.procedure.airdrop2,"If you want the content of it, get quick","If you want the content of it, get quick"
entity.palamod.airdrop,Airdrop,Airdrop
subtitles.airdrop_open,Air Drop Open,Air Drop Open
subtitles.remote_air_drop,Remote Air Drop,Remote Air Drop
death.attack.fake_water_damage,%1$s died in the fake water,%1$s died in the fake water
death.attack.fake_water_damage.item,%1$s was killed by %2$s using %3$s,%1$s was killed by %2$s using %3$s
death.attack.fake_water_damage.player,%1$s died whilst trying to escape %2$s,%1$s died whilst trying to escape %2$s
block.palamod.colored_lamp,Colored Lamp,Colored Lamp
block.palamod.colored_lamp_on,Colored Lamp On,Colored Lamp On
block.palamod.cobblebreaker_amethyst,Cobblebreaker,Cobblebreaker
block.palamod.cobblebreaker_titan,Cobblebreaker,Cobblebreaker
block.palamod.cobblebreaker_paladium,Cobblebreaker,Cobblebreaker
block.palamod.paladium_furnace_fire,Paladium Furnace,Paladium Furnace
subtitles.the_battle,The Battle,The Battle
subtitles.dungeon,Dungeon,Dungeon
item.palamod.dungeon,Disque de musique,Music Disc
item.palamod.dungeon.desc,Dungeon,Dungeon
item.palamod.the_battle.desc,The Battle,The Battle
item.palamod.the_battle,Disque de musique,Music Disc
item.palamod.frigoria_leggings,Jambières de Frigoria,Frigoria Leggings
item.palamod.frigoria_helmet,Casque d'Frigoria,Frigoria Helmet
item.palamod.frigoria_chestplate,Plastron d'Frigoria,Frigoria Chestplate
item.palamod.frigoria_boots,Frigoria Boots,Frigoria Boots
item.palamod.frigoria_reinforced_chestplate,Plastron d'Frigoria Reinforced,Frigoria Reinforced Chestplate
item.palamod.frigoria_reinforced_helmet,Casque d'Frigoria Reinforced,Frigoria Reinforced Helmet
item.palamod.frigoria_reinforced_boots,Frigoria Reinforced Boots,Frigoria Reinforced Boots
item.palamod.frigoria_reinforced_leggings,Jambières de Frigoria Reinforced,Frigoria Reinforced Leggings
item.palamod.frigoria_legendary_helmet,Casque d'Frigoria Legendary,Frigoria Legendary Helmet
item.palamod.frigoria_legendary_leggings,Jambières de Frigoria Legendary,Frigoria Legendary Leggings
item.palamod.frigoria_legendary_boots,Frigoria Legendary Boots,Frigoria Legendary Boots
item.palamod.frigoria_legendary_chestplate,Plastron d'Frigoria Legendary,Frigoria Legendary Chestplate
item.palamod.frigoria_sword,Frigoria Sword,Frigoria Sword
item.palamod.frigoria_reinforced_sword,Frigoria Reinforced Sword,Frigoria Reinforced Sword
item.palamod.frigoria_legendary_sword,Frigoria Legendary Sword,Frigoria Legendary Sword
block.palamod.lucky_drawer,Lucky Drawer,Lucky Drawer
gui.palamod.menu_help.label_welcome_to_palamod_recreated_hel,Welcome to Palamod Help,Welcome to Palamod Help
gui.palamod.menu_help.button_tools,Tools,Tools
gui.palamod.menu_help.button_voidstone_minage,Items,Items
gui.palamod.menu_help.button_stockages,Stockages,Stockages
gui.palamod.menu_help.button_lucky_block,Lucky Block,Lucky Block
gui.palamod.menu_help.button_commands,Commands,Commands
gui.palamod.menu_help.button_trades,Trades,Trades
gui.palamod.menu_help.button_events,Events,Events
gui.palamod.menu_help.button_mobs,Mobs,Mobs
gui.palamod.menu_help.button_armors,Armors,Armors
gui.palamod.menu_help.button_box,Box,Box
gui.palamod.menu_help.button_crusher,Blocks,Blocks
gui.palamod.help_block.button_cobblebreaker,Cobblebreaker,Cobblebreaker
gui.palamod.help_block.button_grinder,Broyeur,Grinder
gui.palamod.help_block.button_guardian_box,Guardian Box,Guardian Box
gui.palamod.help_block.button_cauldron,Cauldron,Cauldron
gui.palamod.help_block.button_palamachine,Palamachine,Palamachine
gui.palamod.help_block.button_palafurnace,Palafurnace,Palafurnace
gui.palamod.help_block.button_crusher,Crusher,Crusher
gui.palamod.help_block.button_palaforge,Palaforge,Palaforge
gui.palamod.help_items.button_palafurnace,Palafurnace,Palafurnace
gui.palamod.help_items.button_palamachine,Palamachine,Palamachine
gui.palamod.help_items.button_guardian_box,Guardian Box,Guardian Box
gui.palamod.help_items.button_cobblebreaker,Cobblebreaker,Cobblebreaker
gui.palamod.help_items.button_crusher,Ingots,Ingots
gui.palamod.help_items.button_grinder,All Sticks,All Sticks
gui.palamod.help_items.button_cauldron,Cauldron,Cauldron
gui.palamod.help_items.button_palaforge,Palaforge,Palaforge
gui.palamod.help_commands.button_crusher,/support,/support
gui.palamod.help_commands.button_grinder,/Feed,/Feed
gui.palamod.help_armors.button_grinder,Ancient,Ancient
gui.palamod.help_armors.button_crusher,Endium,Endium
gui.palamod.help_tools.button_grinder,Ancient,Ancient
gui.palamod.help_tools.button_crusher,Endium,Endium
gui.palamod.help_trades.button_grinder,Trixiar,Trixiar
gui.palamod.help_mobs.button_grinder,Arty,Arty
gui.palamod.help_mobs.button_crusher,Corrupted Zombie,Corrupted Zombie
gui.palamod.help_box.button_grinder,Paladium Box,Paladium Box
gui.palamod.help_box.button_crusher,Antique Box,Antique Box
gui.palamod.help_events.button_crusher,Back,Back
gui.palamod.help_items.button_lightning_potions,Lightning Potions,Lightning Potions
gui.palamod.help_items.button_legendary_stones,Legendary Stones,Legendary Stones
gui.palamod.help_items.button_xp_bottles,XP Bottles,XP Bottles
gui.palamod.help_items.button_void_stone,Void Stone,Void Stone
gui.palamod.help_items.button_disc,Pattern,Pattern
gui.palamod.help_items.button_rings,Rings,Rings
gui.palamod.help_items.button_dynamite,Dynamite,Dynamite
gui.palamod.help_items.button_fluids,Fluids,Fluids
gui.palamod.help_items.button_seeds,Seeds,Seeds
gui.palamod.help_items.button_endium_gauntlet,Endium Gauntlet,Endium Gauntlet
gui.palamod.help_items.button_mixed_coal,Mixed Coal,Mixed Coal
gui.palamod.help_items.button_unclaim_finder,Unclaim Finder,Unclaim Finder
gui.palamod.help_items.button_capture_stone,Capture Stone,Capture Stone
gui.palamod.help_items.button_switch_arrow,Switch Arrow,Switch Arrow
gui.palamod.help_commands.button_home_sethome_delhome,/home /sethome /delhome,/home /sethome /delhome
gui.palamod.help_armors.button_amethyst,Améthyste,Amethyst
gui.palamod.help_armors.button_paladium_green,Paladium / Green,Paladium / Green
gui.palamod.help_armors.button_titane,Titane,Titane
gui.palamod.help_armors.button_mixed_endium,Mixed Endium,Mixed Endium
gui.palamod.help_armors.button_travel,Travel,Travel
gui.palamod.help_armors.button_tournaments,Tournaments,Tournaments
gui.palamod.help_tools.button_excavator,Excavator,Excavator
gui.palamod.help_tools.button_broadsword,Broadsword,Broadsword
gui.palamod.help_tools.button_titane,Titane,Titane
gui.palamod.help_tools.button_fastsword,Fastsword,Fastsword
gui.palamod.help_tools.button_infernal_knocker,Infernal Knocker,Infernal Knocker
gui.palamod.help_tools.button_hammer,Marteau,Hammer
gui.palamod.help_tools.button_paladium_green,Paladium / Green,Paladium / Green
gui.palamod.help_tools.button_pickaxe_of_the_god,Pioche Of The God,Pickaxe Of The God
gui.palamod.help_tools.button_amethyst,Améthyste,Amethyst
gui.palamod.help_trades.button_corrupted,Purificateur,Purifier
gui.palamod.help_trades.button_christmas_villager,Christmas Villager,Christmas Villager
gui.palamod.help_lucky_block.label_currently_unavailable,Currently unavailable,Currently unavailable
gui.palamod.help_mobs.button_the_diver,The Diver,The Diver
gui.palamod.help_mobs.button_guardian_golem,Guardian Golem,Guardian Golem
gui.palamod.help_mobs.button_corrupted_skeleton,Corrupted Skeleton,Corrupted Skeleton
gui.palamod.help_mobs.button_jeff_the_killer,Jeff The Killer,Jeff The Killer
gui.palamod.help_mobs.button_corrupted_slime,Corrupted Slime,Corrupted Slime
gui.palamod.help_mobs.button_fuze_iii,Fuze III,Fuze III
gui.palamod.help_mobs.button_silwox,SILWOX,SILWOX
gui.palamod.help_mobs.button_palabot,Palabot,Palabot
gui.palamod.help_box.button_amethyst_box,Améthyste Box,Amethyst Box
gui.palamod.help_block.button_container,Container,Container
gui.palamod.help_block.button_ores,Minerais,Ores
gui.palamod.help_grinder.label_the_grinder_allows_for_crafting,The Broyeur can be used,The Grinder can be used
gui.palamod.help_grinder.label_broadsword,- Broadsword,- Broadsword
gui.palamod.help_grinder.label_hammer,- Marteau,- Hammer
gui.palamod.help_grinder.label_various_tools_including,"many different tools,","many different tools,"
gui.palamod.help_grinder.label_fastsword,- Fastsword,- Fastsword
gui.palamod.help_grinder.label_including,including :,including :
gui.palamod.help_grinder.label_socket,- Socket,- Socket
gui.palamod.help_grinder.label_1,1,1
gui.palamod.help_grinder.label_must_contain_paladium,! Must contain Paladium,! Must contain Paladium
gui.palamod.help_grinder.label_tools_head,- Tools Head,- Tools Head
gui.palamod.help_grinder.label_2,2,2
gui.palamod.help_grinder.label_for_crafting,to crafting,to crafting
gui.palamod.help_grinder.label_3,3,3
gui.palamod.help_grinder.label_pattern,- Pattern,- Pattern
gui.palamod.help_crusher.label_many_craft,- Many Craft,- Many Craft
gui.palamod.help_crusher.label_x64,x64,x64
gui.palamod.help_crusher.label_only_orange_blue,Only Orange Blue,Only Orange Blue
gui.palamod.help_cobblebreaker.label_upgrade,Upgrade,Upgrade
gui.palamod.help_palamachine.label_view_paladium_wiki,View paladium wiki for all craft,View paladium wiki for all craft
gui.palamod.help_cauldron.label_7x7,7x7,7x7
gui.palamod.help_cauldron.label_give_pollen,Give pollen,Give pollen
gui.palamod.help_palafurnace.label_max_16,Max - 16,Max - 16
gui.palamod.help_guardian_box.label_1,1,1
gui.palamod.help_guardian_box.label_2,2,2
gui.palamod.help_guardian_box.label_3,3,3
gui.palamod.help_rings.label_800,800,800
gui.palamod.help_rings.label_1000,1000,1000
gui.palamod.help_rings.label_restore_your_durability,Restore your durability :,Restore your durability :
gui.palamod.help_rings.label_3000,3000,3000
gui.palamod.help_rings.label_1400,1400,1400
gui.palamod.help_rings.label_1800,1800,1800
gui.palamod.help_rings.label_armors_tools,- Armors & Tools,- Armors & Tools
gui.palamod.help_rings.label_600,600,600
gui.palamod.help_sticks.label_gives_a_strength_2_effect,Gives a Strength 2 effect,Gives a Strength 2 effect
gui.palamod.help_sticks.label_there_is_a_recharge_time_after_u,there is a recharge time after use,there is a recharge time after use
gui.palamod.help_sticks.label_restores_all_your_health_points,Restores all your health,Restores all your health
gui.palamod.help_sticks.label_effects_for_a_few_seconds,effects for a few seconds.,effects for a few seconds.
gui.palamod.help_sticks.label_gives_a_speed_2_effect,Gives a speed 2 effect,Gives a speed 2 effect
gui.palamod.help_sticks.label_you_give_a_mixture_of_several_ef,You give a mixture of several,You give a mixture of several
gui.palamod.help_sticks.label_gives_a_jump_boost_2_effect,Gives a Jump Boost 2 effect,Gives a Jump Boost 2 effect
gui.palamod.help_sticks.label_the_short_sound_effect,! The short sound effect,! The short sound effect
gui.palamod.help_sticks.label_makes_you_jump_very_high,Makes you jump very high,Makes you jump very high
gui.palamod.help_dynamite.label_which_creates_a_large_explosion,which creates a big explosion,which creates a big explosion
gui.palamod.help_dynamite.label_throw_dynamite_made_of_endium,"Throw dynamite made of endium,","Throw dynamite made of endium,"
gui.palamod.help_dynamite.label_throw_dynamite_that_creates,Throw dynamite that creates,Throw dynamite that creates
gui.palamod.help_dynamite.label_an_explosion_like_tnt,an explosion like TNT.,an explosion like TNT.
gui.palamod.help_seeds.label_allows_you_to_grow_chervil,Allows you to grow Chervil,Allows you to grow Chervil
gui.palamod.help_seeds.label_allows_you_to_grow_kiwano,Allows you to grow Kiwano,Allows you to grow Kiwano
gui.palamod.help_seeds.label_allows_you_to_grow_orange_blue,Allows you to grow Orange Blue,Allows you to grow Orange Blue
gui.palamod.help_seeds.label_allows_you_to_grow_eggplant,Allows you to grow Eggplant,Allows you to grow Eggplant
gui.palamod.help_ores.label_max_50,Max: -50,Max: -50
gui.palamod.help_ores.label_max_51,Max: -51,Max: -51
gui.palamod.help_ores.label_max_521,Max: -52,Max: -52
gui.palamod.help_ores.label_max_511,Max: -51,Max: -51
gui.palamod.help_ores.label_max_52,Max: -52,Max: -52
gui.palamod.help_ores.label_max_522,Max: -52,Max: -52
gui.palamod.help_ores.label_max_501,Max: -50,Max: -50
gui.palamod.help_ores.label_max_523,Max: -52,Max: -52
gui.palamod.help_ores.label_max_502,Max: -50,Max: -50
gui.palamod.help_ores.label_max_524,Max: -52,Max: -52
gui.palamod.help_ores.label_min_0,Min: 0,Min: 0
gui.palamod.help_ores.label_min_60,Min: -60,Min: -60
gui.palamod.help_ores.label_min_62,Min: -62,Min: -62
gui.palamod.help_ores.label_max_20,Max: 20,Max: 20
gui.palamod.help_ores.label_min_56,Min: -56,Min: -56
gui.palamod.help_ores.label_min_01,Min: 0,Min: 0
gui.palamod.help_ores.label_max_55,Max: 55,Max: 55
gui.palamod.help_ores.label_min_58_max_51,Min: -58,Min: -58
gui.palamod.help_ores.label_min_58,Min: -58,Min: -58
gui.palamod.help_ores.label_min_581,Min: -58,Min: -58
gui.palamod.help_ores.label_min_622,Min: -62,Min: -62
gui.palamod.help_ores.label_min_601,Min: -60,Min: -60
gui.palamod.help_ores.label_min_623,Min: -62,Min: -62
gui.palamod.help_ores.label_min_621,Min: -62,Min: -62
gui.palamod.help_voidstone.label_used_to_store_stone,Used to store stone,Used to store stone
gui.palamod.help_voidstone.label_use_to_trash_your_items,Use to trash your items,Use to trash your items
gui.palamod.help_fluids.label_that_regenerates_you,that regenerates you.,that regenerates you.
gui.palamod.help_fluids.label_that_inflicts_damage_on_you,that inflicts damage on you.,that inflicts damage on you.
gui.palamod.help_fluids.label_fake_water_is_a_trap_water_that,Eau factice is a trap water,Fake Water is a trap water
gui.palamod.help_fluids.label_angelic_water_is_a_fluid_that_re,Angelic Water is a fluid,Angelic Water is a fluid
gui.palamod.help_endium_gauntlet.label_endium_gloves_can_store_all_lege,Endium gloves can store,Endium gloves can store
gui.palamod.help_endium_gauntlet.label_all_legendary_stones,all Legendary Stones.,all Legendary Stones.
gui.palamod.help_lightning_potion.label_equip_a_helmet_and_make_it_with,Equip a helmet and make it with,Equip a helmet and make it with
gui.palamod.help_lightning_potion.label_to_obtain_lightning_potions,to obtain lightning potions.,to obtain lightning potions.
gui.palamod.help_lightning_potion.label_empty_vials_during_a_thunderstor,empty vials during a thunderstorm,empty vials during a thunderstorm
item.palamod.legendary_stone_jobs,Legendary Stone Jobs,Legendary Stone Jobs
item.palamod.legendary_stone_jobs.description_0,Click and get big xp,Click and get big xp
palamod.procedure.legendarystonetick,Cooldown before next use :,Cooldown before next use :
gui.palamod.help_legendary_stone.label_recharge_time_40_minutes,Recharge time 40 minutes,Recharge time 40 minutes
gui.palamod.help_legendary_stone.label_legendary_stone,legendary stone.,legendary stone.
gui.palamod.help_legendary_stone.label_get_enhanced_powers,Get enhanced powers,Get enhanced powers
gui.palamod.help_legendary_stone.label_effect_not_available,Effect not available,Effect not available
gui.palamod.help_legendary_stone.label_obtain_a_random_legendary_stone,Obtain a random,Obtain a random
gui.palamod.help_legendary_stone.label_you_give_xp_randomly,You give XP randomly,You give XP randomly
gui.palamod.help_legendary_stone.label_getting_rich_with_ingots,Getting rich with ingots,Getting rich with ingots
gui.palamod.help_legendary_stone.label_become_invisible,Become invisible,Become invisible
gui.palamod.help_legendary_stone.label_teleport_randomly,Teleport randomly,Teleport randomly
gui.palamod.help_xp_bottle.label_store_your_xp_in_bottles,store your XP in bottles,store your XP in bottles
gui.palamod.help_swirch_arrow.label_the_arrow_reverses_the_position,The arrow reverses the position of,The arrow reverses the position of
gui.palamod.help_swirch_arrow.label_you_and_the_opponent_touch,you and the opponent touch,you and the opponent touch
gui.palamod.help_unclaim_finder.label_allows_you_to_detect_chests,Allows you to detect chests,Allows you to detect chests
advancements.level_2.title,Level 2,Level 2
advancements.level_2.descr,Craft Iron Pioche & Shield,Craft Iron Pickaxe & Shield
advancements.level_3.descr,Craft a Améthyste Pioche,Craft a Amethyst Pickaxe
advancements.level_3.title,Level 3,Level 3
advancements.level_4.title,Level 4,Level 4
advancements.level_4.descr,"Craft a Titane Sword, Pioche, Axe","Craft a Titane Sword, Pickaxe, Axe"
advancements.level_5.descr,Améthyste !!!!!!!!!,Amethyst !!!!!!!!!
advancements.level_5.title,Level 5,Level 5
advancements.level_6.title,Level 6,Level 6
advancements.level_6.descr,Full Travel,Full Travel
advancements.level_7.descr,Craft a Backpack,Craft a Backpack
advancements.level_7.title,Level 7,Level 7
advancements.level_8.descr,Obtains the different seeds,Obtains the different seeds
advancements.level_8.title,Level 8,Level 8
advancements.level_9.descr,Obtain 32x Titane,Obtain 32x Titane
advancements.level_9.title,Level 9,Level 9
advancements.level_10.title,Level 10,Level 10
advancements.level_10.descr,Craft a Findium Block & Cave Block,Craft a Findium Block & Cave Block
advancements.level_11.title,Level 11,Level 11
advancements.level_11.descr,Craft a Améthyste Marteau,Craft a Amethyst Hammer
advancements.level_12.title,Level 12,Level 12
advancements.level_12.descr,Obtain a Paladium,Obtain a Paladium
advancements.level_13.descr,"Craft a Paladium Sword, Pioche, Axe, Shovel","Craft a Paladium Sword, Pickaxe, Axe, Shovel"
advancements.level_13.title,Level 13,Level 13
advancements.level_14.title,Level 14,Level 14
advancements.level_14.descr,Craft a Scuba helmet,Craft a Scuba helmet
advancements.level_15.descr,Craft a Full Titane Armor,Craft a Full Titane Armor
advancements.level_15.title,Level 15,Level 15
advancements.level_16.descr,Craft a Trixium Block,Craft a Trixium Block
advancements.level_16.title,Level 16,Level 16
advancements.level_17.title,Level 2,Level 2
advancements.level_17.descr,Craft a Améthyste Excavator,Craft a Amethyst Excavator
advancements.level_18.descr,Craft a Titane Block & Améthyste block x3,Craft a Titane Block & Amethyst block x3
advancements.level_18.title,Level 18,Level 18
advancements.level_19.title,Level 19,Level 19
advancements.level_19.descr,Craft 10 Diamond Block,Craft 10 Diamond Block
advancements.level_20.title,Level 20,Level 20
advancements.level_20.descr,Craft a Paladium Armor,Craft a Paladium Armor
advancements.level_21.descr,Craft a Titane Marteau,Craft a Titane Hammer
advancements.level_21.title,Level 21,Level 21
advancements.level_22.title,Level 22,Level 22
advancements.level_22.descr,Craft a Cobblebreaker,Craft a Cobblebreaker
advancements.level_23.descr,Craft 3 Palapple,Craft 3 Palapple
advancements.level_23.title,Level 23,Level 23
advancements.level_24.title,Level 24,Level 24
advancements.level_24.descr,Craft a Améthyste Upgrade Cobblebreaker,Craft a Amethyst Upgrade Cobblebreaker
advancements.level_25.title,Level 25,Level 25
advancements.level_25.descr,Basic equipment,Basic equipment
advancements.level_26.descr,Craft a Titane Backpack,Craft a Titane Backpack
advancements.level_26.title,Level 26,Level 26
advancements.level_27.title,Level 27,Level 27
advancements.level_27.descr,Obtain 5 Orange Blue Seeds,Obtain 5 Orange Blue Seeds
advancements.level_28.descr,Craft a Totem Of Flowery,Craft a Totem Of Flowery
advancements.level_28.title,Level 28,Level 28
advancements.level_29.descr,Obtain 128 bone block,Obtain 128 bone block
advancements.level_29.title,Level 29,Level 29
advancements.level_30.title,Level 30,Level 30
advancements.level_30.descr,Obtain 100 deepslate paladium ore,Obtain 100 deepslate paladium ore
advancements.level_31.descr,Eat a Palapple,Eat a Palapple
advancements.level_31.title,Level 31,Level 31
advancements.level_32.title,Level 32,Level 32
advancements.level_32.descr,Craft a Palamachine & place,Craft a Palamachine & place
advancements.level_33.descr,Craft a Small Ring & Medium Ring,Craft a Small Ring & Medium Ring
advancements.level_33.title,Level 33,Level 33
advancements.level_34.title,Level 34,Level 34
advancements.level_34.descr,Craft 3x Jump Stick,Craft 3x Jump Stick
advancements.level_35.descr,Enchant Paladium Sword Sharpness 5 & Fire Aspect 2,Enchant Paladium Sword Sharpness 5 & Fire Aspect 2
advancements.level_35.title,Level 35,Level 35
advancements.level_36.title,Level 36,Level 36
advancements.level_36.descr,Craft 32 Block of Titane,Craft 32 Block of Titane
advancements.level_37.descr,Craft 64 Block of Améthyste,Craft 64 Block of Amethyst
advancements.level_37.title,Level 37,Level 37
advancements.level_38.descr,Minerai de Mine 20 Deepslate Green Paladium (Silk Touch),Mine 20 Deepslate Green Paladium Ore (Silk Touch)
advancements.level_38.title,Level 38,Level 38
advancements.level_39.title,Level 39,Level 39
advancements.level_39.descr,Craft x3 Paladium Broadsword,Craft x3 Paladium Broadsword
advancements.level_40.title,Level 40,Level 40
advancements.level_40.descr,Craft a full Green Paladium Armor & Sword,Craft a full Green Paladium Armor & Sword
advancements.level_41.descr,Craft 6x Paladium Marteau,Craft 6x Paladium Hammer
advancements.level_41.title,Level 41,Level 41
advancements.level_42.descr,Craft 3x Guardian Stone,Craft 3x Guardian Stone
advancements.level_42.title,Level 42,Level 42
advancements.level_43.descr,Craft 20 Broyeur Frame,Craft 20 Grinder Frame
advancements.level_43.title,Level 43,Level 43
advancements.level_44.title,Level 44,Level 44
advancements.level_44.descr,Craft x10 Paladium Furnace,Craft x10 Paladium Furnace
advancements.level_45.descr,Craft x3 Magical Tools,Craft x3 Magical Tools
advancements.level_45.title,Level 45,Level 45
advancements.level_46.title,Level 46,Level 46
advancements.level_46.descr,Place Slime Pad,Place Slime Pad
advancements.level_47.title,Level 47,Level 47
advancements.level_47.descr,Obtain 300 cooked beef,Obtain 300 cooked beef
advancements.level_48.descr,Craft x3 Infernal Knocker,Craft x3 Infernal Knocker
advancements.level_48.title,Level 48,Level 48
advancements.level_49.title,Level 49,Level 49
advancements.level_49.descr,Obtain a Endium Fragment,Obtain a Endium Fragment
advancements.level_50.title,Level 50,Level 50
advancements.level_50.descr,Craft your first Endium Nuggets,Craft your first Endium Nuggets
item.palamod.smelt_modifier,Smelt Modifier,Smelt Modifier
item.palamod.paladium_hammer_smelt,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt.description_0,§5- SMELT,§5- SMELT
item.palamod.speed_modifier,Speed Modifier,Speed Modifier
item.palamod.more_upgrade_modifier,More Upgrade Modifier,More Upgrade Modifier
item.palamod.knockback_modifier,Knockback Modifier,Knockback Modifier
item.palamod.fortune_modifier,Fortune Modifier,Fortune Modifier
item.palamod.damage_modifier,Damage Modifier,Damage Modifier
item.palamod.flame_modifier,Flame Modifier,Flame Modifier
item.palamod.paladium_hammer_more_1,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_more_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_more_1.description_0,§a- More Upgrade [x1],§a- More Upgrade [x1]
item.palamod.paladium_hammer_more_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_more_upgrade_1,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_more_upgrade_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_smelt_more_upgrade_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_smelt_more_upgrade_1.description_0,§aMore Upgrade [x1],§aMore Upgrade [x1]
item.palamod.paladium_hammer_smelt_more_upgrade_1.description_1,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_smelt_more_upgrade_2.description_1,§5- SMELT,§5- SMELT
item.palamod.paladium_hammer_speed,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_speed_more_upgrade_1,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_speed_more_upgrade_1.description_0,§aMore Upgrade [x1],§aMore Upgrade [x1]
item.palamod.paladium_hammer_speed_more_upgrade_1.description_1,§b- SPEED,§b- SPEED
item.palamod.paladium_hammer_speed_more_upgrade_2,Paladium Marteau,Paladium Hammer
item.palamod.paladium_hammer_speed_more_upgrade_2.description_0,§aMore Upgrade [x2],§aMore Upgrade [x2]
item.palamod.paladium_hammer_speed_more_upgrade_2.description_1,§b- SPEED,§b- SPEED
